=== LOG START ===
GLOBAL | Product_7 vs Product_6 | Winner: Product_7 | 1000.0→1016.0 , 1000.0→984.0
USER User_1 | 7 vs 6 | Winner: 7 | 1000.0→1016.0 , 1000.0→984.0
GLOBAL | Product_4 vs Product_1 | Winner: Product_4 | 1000.0→1016.0 , 1000.0→984.0
USER User_1 | 4 vs 1 | Winner: 4 | 1000.0→1016.0 , 1000.0→984.0
GLOBAL | Product_1 vs Product_4 | Winner: Product_4 | 984.0→969.4695015289755 , 1016.0→1030.5304984710244
USER User_1 | 1 vs 4 | Winner: 4 | 984.0→969.4695015289755 , 1016.0→1030.5304984710244
GLOBAL | Product_6 vs Product_4 | Winner: Product_4 | 984.0→970.1300887187269 , 1030.5304984710244→1044.4004097522975
USER User_1 | 6 vs 4 | Winner: 4 | 984.0→970.1300887187269 , 1030.5304984710244→1044.4004097522975
GLOBAL | Product_6 vs Product_2 | Winner: Product_6 | 970.1300887187269→987.5022699101899 , 1000.0→982.6278188085371
USER User_1 | 6 vs 2 | Winner: 6 | 970.1300887187269→987.5022699101899 , 1000.0→982.6278188085371
GLOBAL | Product_7 vs Product_3 | Winner: Product_3 | 1016.0→999.263693206478 , 1000.0→1016.736306793522
USER User_1 | 7 vs 3 | Winner: 3 | 1016.0→999.263693206478 , 1000.0→1016.736306793522
GLOBAL | Product_3 vs Product_8 | Winner: Product_8 | 1016.736306793522→999.9661669788793 , 1000.0→1016.7701398146427
USER User_1 | 3 vs 8 | Winner: 8 | 1016.736306793522→999.9661669788793 , 1000.0→1016.7701398146427
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 999.9661669788793→986.0013554603572 , 1044.4004097522975→1058.3652212708196
USER User_1 | 3 vs 4 | Winner: 4 | 999.9661669788793→986.0013554603572 , 1044.4004097522975→1058.3652212708196
GLOBAL | Product_6 vs Product_1 | Winner: Product_1 | 987.5022699101899→970.6725751324576 , 969.4695015289755→986.2991963067077
USER User_1 | 6 vs 1 | Winner: 1 | 987.5022699101899→970.6725751324576 , 969.4695015289755→986.2991963067077
GLOBAL | Product_2 vs Product_8 | Winner: Product_8 | 982.6278188085371→968.1950890534656 , 1016.7701398146427→1031.202869569714
USER User_1 | 2 vs 8 | Winner: 8 | 982.6278188085371→968.1950890534656 , 1016.7701398146427→1031.202869569714
GLOBAL | Product_2 vs Product_3 | Winner: Product_3 | 968.1950890534656→953.0143807283993 , 986.0013554603572→1001.1820637854236
USER User_1 | 2 vs 3 | Winner: 3 | 968.1950890534656→953.0143807283993 , 986.0013554603572→1001.1820637854236
GLOBAL | Product_8 vs Product_7 | Winner: Product_8 | 1031.202869569714→1045.7361454898314 , 999.263693206478→984.7304172863608
USER User_1 | 8 vs 7 | Winner: 8 | 1031.202869569714→1045.7361454898314 , 999.263693206478→984.7304172863608
GLOBAL | Product_4 vs Product_5 | Winner: Product_4 | 1058.3652212708196→1071.7024048834783 , 1000.0→986.6628163873413
USER User_1 | 4 vs 5 | Winner: 4 | 1058.3652212708196→1071.7024048834783 , 1000.0→986.6628163873413
GLOBAL | Product_6 vs Product_5 | Winner: Product_5 | 970.6725751324576→955.4084334703172 , 986.6628163873413→1001.9269580494818
USER User_1 | 6 vs 5 | Winner: 5 | 970.6725751324576→955.4084334703172 , 986.6628163873413→1001.9269580494818
GLOBAL | Product_6 vs Product_3 | Winner: Product_6 | 955.4084334703172→973.5042750064943 , 1001.1820637854236→983.0862222492465
USER User_1 | 6 vs 3 | Winner: 6 | 955.4084334703172→973.5042750064943 , 1001.1820637854236→983.0862222492465
GLOBAL | Product_7 vs Product_6 | Winner: Product_7 | 984.7304172863608→1000.2136141689847 , 973.5042750064943→958.0210781238703
USER User_1 | 7 vs 6 | Winner: 7 | 984.7304172863608→1000.2136141689847 , 973.5042750064943→958.0210781238703
GLOBAL | Product_7 vs Product_1 | Winner: Product_7 | 1000.2136141689847→1015.5731739134495 , 986.2991963067077→970.9396365622429
USER User_1 | 7 vs 1 | Winner: 7 | 1000.2136141689847→1015.5731739134495 , 986.2991963067077→970.9396365622429
GLOBAL | Product_1 vs Product_4 | Winner: Product_1 | 970.9396365622429→991.4540668903776 , 1071.7024048834783→1051.1879745553435
USER User_1 | 1 vs 4 | Winner: 1 | 970.9396365622429→991.4540668903776 , 1071.7024048834783→1051.1879745553435
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 1001.9269580494818→983.9157125058248 , 958.0210781238703→976.0323236675273
USER User_1 | 5 vs 6 | Winner: 6 | 1001.9269580494818→983.9157125058248 , 958.0210781238703→976.0323236675273
GLOBAL | Product_5 vs Product_6 | Winner: Product_6 | 983.9157125058248→967.5527313243903 , 976.0323236675273→992.3953048489618
USER User_1 | 5 vs 6 | Winner: 6 | 983.9157125058248→967.5527313243903 , 976.0323236675273→992.3953048489618
GLOBAL | Product_5 vs Product_8 | Winner: Product_5 | 967.5527313243903→987.0936426197585 , 1045.7361454898314→1026.1952341944632
USER User_1 | 5 vs 8 | Winner: 5 | 967.5527313243903→987.0936426197585 , 1045.7361454898314→1026.1952341944632
GLOBAL | Product_4 vs Product_3 | Winner: Product_4 | 1051.1879745553435→1064.0913304095695 , 983.0862222492465→970.1828663950205
USER User_1 | 4 vs 3 | Winner: 4 | 1051.1879745553435→1064.0913304095695 , 983.0862222492465→970.1828663950205
GLOBAL | Product_5 vs Product_2 | Winner: Product_5 | 987.0936426197585→1001.5292485416189 , 953.0143807283993→938.5787748065388
USER User_1 | 5 vs 2 | Winner: 5 | 987.0936426197585→1001.5292485416189 , 953.0143807283993→938.5787748065388
GLOBAL | Product_1 vs Product_5 | Winner: Product_1 | 991.4540668903776→1007.9179161384707 , 1001.5292485416189→985.0653992935258
USER User_1 | 1 vs 5 | Winner: 1 | 991.4540668903776→1007.9179161384707 , 1001.5292485416189→985.0653992935258
GLOBAL | Product_2 vs Product_6 | Winner: Product_2 | 938.5787748065388→957.0374851188391 , 992.3953048489618→973.9365945366616
USER User_1 | 2 vs 6 | Winner: 2 | 938.5787748065388→957.0374851188391 , 992.3953048489618→973.9365945366616
GLOBAL | Product_5 vs Product_8 | Winner: Product_8 | 985.0653992935258→970.950699474118 , 1026.1952341944632→1040.309934013871
USER User_1 | 5 vs 8 | Winner: 8 | 985.0653992935258→970.950699474118 , 1026.1952341944632→1040.309934013871
GLOBAL | Product_3 vs Product_8 | Winner: Product_8 | 970.1828663950205→957.3691839090448 , 1040.309934013871→1053.1236164998468
USER User_1 | 3 vs 8 | Winner: 8 | 970.1828663950205→957.3691839090448 , 1040.309934013871→1053.1236164998468
GLOBAL | Product_8 vs Product_5 | Winner: Product_8 | 1053.1236164998468→1065.4084305135027 , 970.950699474118→958.6658854604619
USER User_1 | 8 vs 5 | Winner: 8 | 1053.1236164998468→1065.4084305135027 , 970.950699474118→958.6658854604619
GLOBAL | Product_8 vs Product_1 | Winner: Product_1 | 1065.4084305135027→1046.7847964933758 , 1007.9179161384707→1026.5415501585976
USER User_1 | 8 vs 1 | Winner: 1 | 1065.4084305135027→1046.7847964933758 , 1007.9179161384707→1026.5415501585976
GLOBAL | Product_6 vs Product_4 | Winner: Product_6 | 973.9365945366616→993.9976326920477 , 1064.0913304095695→1044.0302922541835
USER User_1 | 6 vs 4 | Winner: 6 | 973.9365945366616→993.9976326920477 , 1064.0913304095695→1044.0302922541835
GLOBAL | Product_3 vs Product_6 | Winner: Product_6 | 957.3691839090448→943.0497646700414 , 993.9976326920477→1008.317051931051
USER User_1 | 3 vs 6 | Winner: 6 | 957.3691839090448→943.0497646700414 , 993.9976326920477→1008.317051931051
GLOBAL | Product_8 vs Product_5 | Winner: Product_8 | 1046.7847964933758→1058.8116014074249 , 958.6658854604619→946.6390805464129
USER User_1 | 8 vs 5 | Winner: 8 | 1046.7847964933758→1058.8116014074249 , 958.6658854604619→946.6390805464129
GLOBAL | Product_8 vs Product_7 | Winner: Product_7 | 1058.8116014074249→1040.8306147672995 , 1015.5731739134495→1033.554160553575
USER User_1 | 8 vs 7 | Winner: 7 | 1058.8116014074249→1040.8306147672995 , 1015.5731739134495→1033.554160553575
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 957.0374851188391→972.3936745915238 , 943.0497646700414→927.6935751973567
USER User_1 | 2 vs 3 | Winner: 2 | 957.0374851188391→972.3936745915238 , 943.0497646700414→927.6935751973567
GLOBAL | Product_5 vs Product_2 | Winner: Product_2 | 946.6390805464129→931.8229557963396 , 972.3936745915238→987.2097993415971
USER User_1 | 5 vs 2 | Winner: 2 | 946.6390805464129→931.8229557963396 , 972.3936745915238→987.2097993415971
GLOBAL | Product_3 vs Product_2 | Winner: Product_2 | 927.6935751973567→914.4079005080587 , 987.2097993415971→1000.4954740308951
USER User_1 | 3 vs 2 | Winner: 2 | 927.6935751973567→914.4079005080587 , 987.2097993415971→1000.4954740308951
GLOBAL | Product_1 vs Product_6 | Winner: Product_1 | 1026.5415501585976→1041.7030498908312 , 1008.317051931051→993.1555521988174
USER User_1 | 1 vs 6 | Winner: 1 | 1026.5415501585976→1041.7030498908312 , 1008.317051931051→993.1555521988174
GLOBAL | Product_3 vs Product_4 | Winner: Product_4 | 914.4079005080587→904.1148706993324 , 1044.0302922541835→1054.3233220629097
USER User_1 | 3 vs 4 | Winner: 4 | 914.4079005080587→904.1148706993324 , 1044.0302922541835→1054.3233220629097
GLOBAL | Product_2 vs Product_5 | Winner: Product_2 | 1000.4954740308951→1013.3735377765219 , 931.8229557963396→918.9448920507128
USER User_1 | 2 vs 5 | Winner: 2 | 1000.4954740308951→1013.3735377765219 , 931.8229557963396→918.9448920507128
GLOBAL | Product_1 vs Product_5 | Winner: Product_5 | 1041.7030498908312→1020.2738940227184 , 918.9448920507128→940.3740479188257
USER User_1 | 1 vs 5 | Winner: 5 | 1041.7030498908312→1020.2738940227184 , 918.9448920507128→940.3740479188257
GLOBAL | Product_4 vs Product_8 | Winner: Product_8 | 1054.3233220629097→1037.7022721136627 , 1040.8306147672995→1057.4516647165465
USER User_1 | 4 vs 8 | Winner: 8 | 1054.3233220629097→1037.7022721136627 , 1040.8306147672995→1057.4516647165465
GLOBAL | Product_3 vs Product_8 | Winner: Product_3 | 904.1148706993324→926.7509272049086 , 1057.4516647165465→1034.8156082109701
USER User_1 | 3 vs 8 | Winner: 3 | 904.1148706993324→926.7509272049086 , 1057.4516647165465→1034.8156082109701
GLOBAL | Product_5 vs Product_8 | Winner: Product_8 | 940.3740479188257→928.6191978065974 , 1034.8156082109701→1046.5704583231984
USER User_1 | 5 vs 8 | Winner: 8 | 940.3740479188257→928.6191978065974 , 1034.8156082109701→1046.5704583231984
GLOBAL | Product_7 vs Product_5 | Winner: Product_7 | 1033.554160553575→1044.8634951083152 , 928.6191978065974→917.3098632518572
USER User_1 | 7 vs 5 | Winner: 7 | 1033.554160553575→1044.8634951083152 , 928.6191978065974→917.3098632518572
GLOBAL | Product_8 vs Product_6 | Winner: Product_8 | 1046.5704583231984→1060.1298099191042 , 993.1555521988174→979.5962006029116
USER User_1 | 8 vs 6 | Winner: 8 | 1046.5704583231984→1060.1298099191042 , 993.1555521988174→979.5962006029116
GLOBAL | Product_7 vs Product_4 | Winner: Product_7 | 1044.8634951083152→1060.5337552962876 , 1037.7022721136627→1022.0320119256903
USER User_1 | 7 vs 4 | Winner: 7 | 1044.8634951083152→1060.5337552962876 , 1037.7022721136627→1022.0320119256903
GLOBAL | Product_2 vs Product_1 | Winner: Product_1 | 1013.3735377765219→997.6912691495797 , 1020.2738940227184→1035.9561626496607
USER User_1 | 2 vs 1 | Winner: 1 | 1013.3735377765219→997.6912691495797 , 1020.2738940227184→1035.9561626496607
GLOBAL | Product_1 vs Product_6 | Winner: Product_1 | 1035.9561626496607→1049.3832194380293 , 979.5962006029116→966.169143814543
USER User_1 | 1 vs 6 | Winner: 1 | 1035.9561626496607→1049.3832194380293 , 979.5962006029116→966.169143814543
GLOBAL | Product_6 vs Product_2 | Winner: Product_2 | 966.169143814543→951.6168212937353 , 997.6912691495797→1012.2435916703874
USER User_1 | 6 vs 2 | Winner: 2 | 966.169143814543→951.6168212937353 , 997.6912691495797→1012.2435916703874
GLOBAL | Product_8 vs Product_7 | Winner: Product_7 | 1060.1298099191042→1044.1484122828 , 1060.5337552962876→1076.5151529325917
USER User_1 | 8 vs 7 | Winner: 7 | 1060.1298099191042→1044.1484122828 , 1060.5337552962876→1076.5151529325917
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 1012.2435916703874→1024.38409298309 , 926.7509272049086→914.6104258922059
USER User_1 | 2 vs 3 | Winner: 2 | 1012.2435916703874→1024.38409298309 , 926.7509272049086→914.6104258922059
GLOBAL | Product_7 vs Product_1 | Winner: Product_1 | 1076.5151529325917→1059.2682149484256 , 1049.3832194380293→1066.6301574221955
USER User_1 | 7 vs 1 | Winner: 1 | 1076.5151529325917→1059.2682149484256 , 1049.3832194380293→1066.6301574221955
GLOBAL | Product_1 vs Product_6 | Winner: Product_1 | 1066.6301574221955→1077.5189501246778 , 951.6168212937353→940.728028591253
USER User_1 | 1 vs 6 | Winner: 1 | 1066.6301574221955→1077.5189501246778 , 951.6168212937353→940.728028591253
GLOBAL | Product_6 vs Product_7 | Winner: Product_6 | 940.728028591253→961.9846024874896 , 1059.2682149484256→1038.011641052189
USER User_1 | 6 vs 7 | Winner: 6 | 940.728028591253→961.9846024874896 , 1059.2682149484256→1038.011641052189
GLOBAL | Product_6 vs Product_3 | Winner: Product_3 | 961.9846024874896→943.8163619812973 , 914.6104258922059→932.7786663983982
USER User_1 | 6 vs 3 | Winner: 3 | 961.9846024874896→943.8163619812973 , 914.6104258922059→932.7786663983982
GLOBAL | Product_4 vs Product_7 | Winner: Product_4 | 1022.0320119256903→1038.7673825899976 , 1038.011641052189→1021.2762703878816
USER User_1 | 4 vs 7 | Winner: 4 | 1022.0320119256903→1038.7673825899976 , 1038.011641052189→1021.2762703878816
GLOBAL | Product_2 vs Product_5 | Winner: Product_5 | 1024.38409298309→1003.6035412398526 , 917.3098632518572→938.0904149950948
USER User_1 | 2 vs 5 | Winner: 5 | 1024.38409298309→1003.6035412398526 , 917.3098632518572→938.0904149950948
GLOBAL | Product_8 vs Product_4 | Winner: Product_8 | 1044.1484122828→1059.9006265197797 , 1038.7673825899976→1023.015168353018
USER User_1 | 8 vs 4 | Winner: 8 | 1044.1484122828→1059.9006265197797 , 1038.7673825899976→1023.015168353018
GLOBAL | Product_4 vs Product_8 | Winner: Product_8 | 1023.015168353018→1008.7074533429509 , 1059.9006265197797→1074.2083415298468
USER User_1 | 4 vs 8 | Winner: 8 | 1023.015168353018→1008.7074533429509 , 1059.9006265197797→1074.2083415298468
GLOBAL | Product_8 vs Product_7 | Winner: Product_8 | 1074.2083415298468→1087.7894157030792 , 1021.2762703878816→1007.6951962146492
USER User_1 | 8 vs 7 | Winner: 8 | 1074.2083415298468→1087.7894157030792 , 1021.2762703878816→1007.6951962146492
GLOBAL | Product_8 vs Product_5 | Winner: Product_5 | 1087.7894157030792→1065.2926676425895 , 938.0904149950948→960.5871630555844
USER User_1 | 8 vs 5 | Winner: 5 | 1087.7894157030792→1065.2926676425895 , 938.0904149950948→960.5871630555844
GLOBAL | Product_2 vs Product_3 | Winner: Product_2 | 1003.6035412398526→1016.3863753353154 , 932.7786663983982→919.9958323029354
USER User_1 | 2 vs 3 | Winner: 2 | 1003.6035412398526→1016.3863753353154 , 932.7786663983982→919.9958323029354
GLOBAL | Product_6 vs Product_2 | Winner: Product_6 | 943.8163619812973→963.1105667837688 , 1016.3863753353154→997.0921705328439
USER User_1 | 6 vs 2 | Winner: 6 | 943.8163619812973→963.1105667837688 , 1016.3863753353154→997.0921705328439
GLOBAL | Product_6 vs Product_2 | Winner: Product_6 | 963.1105667837688→980.670506409819 , 997.0921705328439→979.5322309067936
USER User_1 | 6 vs 2 | Winner: 6 | 963.1105667837688→980.670506409819 , 997.0921705328439→979.5322309067936
GLOBAL | Product_3 vs Product_2 | Winner: Product_3 | 919.9958323029354→938.7110599347931 , 979.5322309067936→960.8170032749359
USER User_1 | 3 vs 2 | Winner: 3 | 919.9958323029354→938.7110599347931 , 979.5322309067936→960.8170032749359
GLOBAL | Product_6 vs Product_4 | Winner: Product_6 | 980.670506409819→997.9588601677939 , 1008.7074533429509→991.419099584976
USER User_1 | 6 vs 4 | Winner: 6 | 980.670506409819→997.9588601677939 , 1008.7074533429509→991.419099584976
GLOBAL | Product_2 vs Product_8 | Winner: Product_2 | 960.8170032749359→981.488327661836 , 1065.2926676425895→1044.6213432556895
USER User_1 | 2 vs 8 | Winner: 2 | 960.8170032749359→981.488327661836 , 1065.2926676425895→1044.6213432556895
GLOBAL | Product_8 vs Product_5 | Winner: Product_5 | 1044.6213432556895→1024.8251658658653 , 960.5871630555844→980.3833404454085
USER User_1 | 8 vs 5 | Winner: 5 | 1044.6213432556895→1024.8251658658653 , 960.5871630555844→980.3833404454085
GLOBAL | Product_3 vs Product_4 | Winner: Product_3 | 938.7110599347931→957.1199035573659 , 991.419099584976→973.0102559624032
USER User_2 | 3 vs 4 | Winner: 3 | 1000.0→1016.0 , 1000.0→984.0
GLOBAL | Product_1 vs Product_3 | Winner: Product_1 | 1077.5189501246778→1088.186146973708 , 957.1199035573659→946.4527067083357
USER User_2 | 1 vs 3 | Winner: 1 | 1000.0→1016.736306793522 , 1016.0→999.263693206478
GLOBAL | Product_6 vs Product_5 | Winner: Product_5 | 997.9588601677939→981.15016726688 , 980.3833404454085→997.1920333463224
USER User_2 | 6 vs 5 | Winner: 5 | 1000.0→984.0 , 1000.0→1016.0
GLOBAL | Product_1 vs Product_3 | Winner: Product_1 | 1088.186146973708→1097.998570210973 , 946.4527067083357→936.6402834710707
USER User_2 | 1 vs 3 | Winner: 1 | 1016.736306793522→1031.9323408595196 , 999.263693206478→984.0676591404803
GLOBAL | Product_1 vs Product_4 | Winner: Product_4 | 1097.998570210973→1076.4787357181801 , 973.0102559624032→994.530090455196
